['Erzählinstanz', 'nan', 'nan', 'Gespräch', 'Tempel des Styx', 1]
['Hades', 'Zagreus', 'nan', 'Boss', 'Oberfläche', 5]
['Nyx', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 3]
['Achilles', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Skelly', 'nan', 'Gespräch', 'Hof', 2]
['Demeter', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
['Megaira', 'Zagreus', 'nan', 'Boss', 'Tartaros', 1]
['Asterios', 'Zagreus', 'nan', 'Boss', 'Elysion', 3]
['Theseus', 'Zagreus', 'Asterios', 'Boss', 'Elysion', 1]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tempel des Styx', 2]
['Zagreus', 'Hades', 'nan', 'Boss', 'Oberfläche', 1]
['Megaira', 'Dusa', 'nan', 'überhört', 'Salon', 1]
['Nyx', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Skelly', 'nan', 'Gespräch', 'Hof', 1]
['Chaos', 'Zagreus', 'nan', 'Gabe', 'Chaos', 3]
['Zagreus', 'Alekto', 'nan', 'Boss', 'Tartaros', 2]
['Zagreus', 'Orpheus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Elysion', 1]
['Theseus', 'Zagreus', 'Asterios', 'Boss', 'Elysion', 3]
['Nyx', 'Hades', 'nan', 'überhört', 'Thronsaal', 2]
['Skelly', 'Zagreus', 'nan', 'Gespräch', 'Hof', 1]
['Chaos', 'Zagreus', 'nan', 'Gabe', 'Chaos', 3]
['Tisiphone', 'Zagreus', 'nan', 'Boss', 'Tartaros', 3]
['Orpheus', 'Achilles', 'nan', 'überhört', 'Thronsaal', 2]
['Asterios', 'Zagreus', 'Theseus', 'Boss', 'Elysion', 1]
['Zagreus', 'Megaira', 'nan', 'Gespräch', 'Salon', 2]
['Skelly', 'Zagreus', 'nan', 'Gespräch', 'Hof', 3]
['Tisiphone', 'Zagreus', 'nan', 'Boss', 'Tartaros', 3]
['Zagreus', 'Patroklus', 'nan', 'Begegnung', 'Elysion', 2]
['Theseus', 'Zagreus', 'Asterios', 'Boss', 'Elysion', 3]
['Chaos', 'Zagreus', 'nan', 'Gabe', 'Chaos', 1]
['Theseus', 'Zagreus', 'Asterios', 'Boss', 'Elysion', 1]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tempel des Styx', 2]
['Zagreus', 'Theseus', 'Asterios', 'Boss', 'Elysion', 2]
['Zagreus', 'Skelly', 'nan', 'Gespräch', 'Hof', 1]
['Zagreus', 'Achilles', 'nan', 'Gespräch', 'Thronsaal', 2]
['Nyx', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Chaos', 'nan', 'Gabe', 'Chaos', 2]
['Hades', 'Zagreus', 'nan', 'Boss', 'Oberfläche', 7]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Griechenland', 1]
['Persephone', 'Zagreus', 'nan', 'Gespräch', 'Griechenland', 17]
